,id,name,iata,icao,city,lat,lon,country,alt,size,timezone,countryId
3834,6688,Saint-Francois Airport,SFC,TFFC,Saint-Francois,16.257799,-61.262501,Guadeloupe,10,788,"{'name': 'America/Guadeloupe', 'offset': -14400, 'offsetHours': '-4:00', 'abbr': 'AST', 'abbrName': 'Atlantic Standard Time', 'isDst': False}",89
3835,1117,Saint-Pierre Airport,FSP,LFVP,Saint-Pierre,46.76305,-56.174099,Saint Pierre And Miquelon,27,2361,"{'name': 'America/Miquelon', 'offset': -10800, 'offsetHours': '-3:00', 'abbr': '-03', 'abbrName': None, 'isDst': False}",189
3836,4218,Saint-Pierre Pierrefonds Airport,ZSE,FMEP,Saint-Pierre,-21.3216,55.425549,Reunion,59,4019,"{'name': 'Indian/Reunion', 'offset': 14400, 'offsetHours': '4:00', 'abbr': '+04', 'abbrName': None, 'isDst': False}",180
3837,5961,Saint-Tropez La Mole Airport,LTT,LFTZ,Saint-Tropez,43.205399,6.482,France,59,10148,"{'name': 'Europe/Paris', 'offset': 3600, 'offsetHours': '1:00', 'abbr': 'CET', 'abbrName': 'Central European Time', 'isDst': False}",76
3838,3239,Sainte Marie Airport,SMS,FMMS,Saint Marie,-17.0938,49.81583,Madagascar,7,163,"{'name': 'Indian/Antananarivo', 'offset': 10800, 'offsetHours': '3:00', 'abbr': 'EAT', 'abbrName': 'East Africa Time', 'isDst': False}",131
3839,3275,Saipan International Airport,SPN,PGSN,Saipan,15.119,145.729294,Northern Mariana Islands,211,23464,"{'name': 'Pacific/Saipan', 'offset': 36000, 'offsetHours': '10:00', 'abbr': 'ChST', 'abbrName': 'Chamorro Standard Time', 'isDst': False}",164
3840,4557,Sakaka Al-Jawf Domestic Airport,AJF,OESK,Sakaka,29.788668,40.101486,Saudi Arabia,2261,1913,"{'name': 'Asia/Riyadh', 'offset': 10800, 'offsetHours': '3:00', 'abbr': '+03', 'abbrName': None, 'isDst': False}",194
3841,3371,Sakata Shonai Airport,SYO,RJSY,Sakata,38.809444,139.790558,Japan,86,8567,"{'name': 'Asia/Tokyo', 'offset': 32400, 'offsetHours': '9:00', 'abbr': 'JST', 'abbrName': 'Japan Standard Time', 'isDst': False}",111
3842,3248,Sakon Nakhon Airport,SNO,VTUI,Sakon Nakhon,17.195141,104.118599,Thailand,529,7758,"{'name': 'Asia/Bangkok', 'offset': 25200, 'offsetHours': '7:00', 'abbr': '+07', 'abbrName': None, 'isDst': False}",221
3843,3224,Salalah Airport,SLL,OOSA,Salalah,17.03871,54.09129,Oman,73,44051,"{'name': 'Asia/Muscat', 'offset': 14400, 'offsetHours': '4:00', 'abbr': '+04', 'abbrName': None, 'isDst': False}",166
3844,3225,Salamanca Airport,SLM,LESA,Salamanca,40.95211,-5.50198,Spain,2595,1042,"{'name': 'Europe/Madrid', 'offset': 3600, 'offsetHours': '1:00', 'abbr': 'CET', 'abbrName': 'Central European Time', 'isDst': False}",209
3845,3232,Salekhard Airport,SLY,USDD,Salekhard,66.590752,66.611038,Russia,219,13892,"{'name': 'Asia/Yekaterinburg', 'offset': 18000, 'offsetHours': '5:00', 'abbr': '+05', 'abbrName': None, 'isDst': False}",182
3846,6816,Salem Airport,SXV,VOSM,Salem,11.7833,78.065598,India,1008,183,"{'name': 'Asia/Kolkata', 'offset': 19800, 'offsetHours': '5:30', 'abbr': 'IST', 'abbrName': 'India Standard Time', 'isDst': False}",102
3847,8084,Salem Leckrone Airport,SLO,KSLO,Salem,38.645061,-88.966003,United States,573,1447,"{'name': 'America/Chicago', 'offset': -21600, 'offsetHours': '-6:00', 'abbr': 'CST', 'abbrName': 'Central Standard Time', 'isDst': False}",236
3848,4633,Salem Municipal Airport,SLE,KSLE,Salem,44.909443,-123.002502,United States,214,40545,"{'name': 'America/Los_Angeles', 'offset': -28800, 'offsetHours': '-8:00', 'abbr': 'PST', 'abbrName': 'Pacific Standard Time', 'isDst': False}",236
3849,8133,Salen Scandinavian Mountains Airport,SCR,ESKS,Salen,61.159,12.84,Sweden,1608,372,"{'name': 'Europe/Stockholm', 'offset': 3600, 'offsetHours': '1:00', 'abbr': 'CET', 'abbrName': 'Central European Time', 'isDst': False}",215
3850,2929,Salerno Costa d'Amalfi Airport,QSR,LIRI,Salerno,40.620148,14.92084,Italy,123,1929,"{'name': 'Europe/Rome', 'offset': 3600, 'offsetHours': '1:00', 'abbr': 'CET', 'abbrName': 'Central European Time', 'isDst': False}",109
3851,4403,Salida Harriet Alexander Field Airport,SLT,KANK,Salida,38.538334,-106.048615,United States,7523,6537,"{'name': 'America/Denver', 'offset': -25200, 'offsetHours': '-7:00', 'abbr': 'MST', 'abbrName': 'Mountain Standard Time', 'isDst': False}",236
3852,3226,Salina Regional Airport,SLN,KSLN,Salina,38.790958,-97.6521,United States,1288,74052,"{'name': 'America/Chicago', 'offset': -21600, 'offsetHours': '-6:00', 'abbr': 'CST', 'abbrName': 'Central Standard Time', 'isDst': False}",236
3853,3244,Salinas General Ulpiano Paez Airport,SNC,SESA,Salinas,-2.20499,-80.9888,Ecuador,18,1338,"{'name': 'America/Guayaquil', 'offset': -18000, 'offsetHours': '-5:00', 'abbr': '-05', 'abbrName': None, 'isDst': False}",65
3854,7418,Salinas Municipal Airport,SNS,KSNS,Salinas,36.664909,-121.610428,United States,75,30706,"{'name': 'America/Los_Angeles', 'offset': -28800, 'offsetHours': '-8:00', 'abbr': 'PST', 'abbrName': 'Pacific Standard Time', 'isDst': False}",236
3855,8382,Salinopolis Airport,OPP,SNSM,Salinopolis,-0.696944,-47.337776,Brazil,89,197,"{'name': 'America/Belem', 'offset': -10800, 'offsetHours': '-3:00', 'abbr': '-03', 'abbrName': None, 'isDst': False}",32
3856,3098,Salisbury Ocean City Wicomico Regional Airport,SBY,KSBY,Salisbury,38.340519,-75.510201,United States,53,39403,"{'name': 'America/New_York', 'offset': -18000, 'offsetHours': '-5:00', 'abbr': 'EST', 'abbrName': 'Eastern Standard Time', 'isDst': False}",236
3857,7520,Salisbury Rowan County Airport,SRW,KRUQ,Salisbury,35.647892,-80.522339,United States,773,26370,"{'name': 'America/New_York', 'offset': -18000, 'offsetHours': '-5:00', 'abbr': 'EST', 'abbrName': 'Eastern Standard Time', 'isDst': False}",236
3858,4168,Salluit Airport,YZG,CYZG,Salluit,62.179443,-75.667221,Canada,742,1770,"{'name': 'America/Montreal', 'offset': -18000, 'offsetHours': '-5:00', 'abbr': 'EST', 'abbrName': 'Eastern Standard Time', 'isDst': False}",40
3859,3220,Salt Lake City International Airport,SLC,KSLC,Salt Lake City,40.78838,-111.976997,United States,4227,1134955,"{'name': 'America/Denver', 'offset': -25200, 'offsetHours': '-7:00', 'abbr': 'MST', 'abbrName': 'Mountain Standard Time', 'isDst': False}",236
3860,3219,Salta Martin Miguel de Guemes International Airport,SLA,SASA,Salta,-24.8559,-65.486099,Argentina,4088,24277,"{'name': 'America/Argentina/Salta', 'offset': -10800, 'offsetHours': '-3:00', 'abbr': '-03', 'abbrName': None, 'isDst': False}",11
3861,3230,Saltillo Plan de Guadalupe Airport,SLW,MMIO,Saltillo,25.54949,-100.928001,Mexico,4778,16262,"{'name': 'America/Monterrey', 'offset': -21600, 'offsetHours': '-6:00', 'abbr': 'CST', 'abbrName': 'Central Standard Time', 'isDst': False}",142
3862,3297,Salvador International Airport,SSA,SBSV,Salvador,-12.9109,-38.331001,Brazil,64,169408,"{'name': 'America/Bahia', 'offset': -10800, 'offsetHours': '-3:00', 'abbr': '-03', 'abbrName': None, 'isDst': False}",32
3863,3380,Salzburg Airport,SZG,LOWS,Salzburg,47.793301,13.00433,Austria,1411,88813,"{'name': 'Europe/Vienna', 'offset': 3600, 'offsetHours': '1:00', 'abbr': 'CET', 'abbrName': 'Central European Time', 'isDst': False}",15
3864,255,Samana El Catey International Airport,AZS,MDCY,Samana,19.267,-69.741997,Dominican Republic,148,3057,"{'name': 'America/Santo_Domingo', 'offset': -14400, 'offsetHours': '-4:00', 'abbr': 'AST', 'abbrName': 'Atlantic Standard Time', 'isDst': False}",64
3865,1835,Samara Kurumoch International Airport,KUF,UWWW,Samara,53.504848,50.16433,Russia,477,79320,"{'name': 'Europe/Samara', 'offset': 14400, 'offsetHours': '4:00', 'abbr': '+04', 'abbrName': None, 'isDst': False}",182
3866,3289,Samarinda AP Tumenggung Pranoto Airport,AAP,WALS,Samarinda,-0.373611,117.255554,Indonesia,82,13108,"{'name': 'Asia/Makassar', 'offset': 28800, 'offsetHours': '8:00', 'abbr': 'WITA', 'abbrName': 'Central Indonesian Time', 'isDst': False}",103
3867,3205,Samarkand International Airport,SKD,UTSS,Samarkand,39.700539,66.983818,Uzbekistan,2224,8718,"{'name': 'Asia/Samarkand', 'offset': 18000, 'offsetHours': '5:00', 'abbr': '+05', 'abbrName': None, 'isDst': False}",239
3868,3340,Sambava Airport,SVB,FMNS,Sambava,-14.2786,50.174721,Madagascar,20,251,"{'name': 'Indian/Antananarivo', 'offset': 10800, 'offsetHours': '3:00', 'abbr': 'EAT', 'abbrName': 'East Africa Time', 'isDst': False}",131
3869,3639,Samburu Buffalo Spring Airport,UAS,HKSB,Samburu,0.533,37.533001,Kenya,3295,1323,"{'name': 'Africa/Nairobi', 'offset': 10800, 'offsetHours': '3:00', 'abbr': 'EAT', 'abbrName': 'East Africa Time', 'isDst': False}",115
3870,3236,Samos International Airport,SMI,LGSM,Samos,37.689991,26.911659,Greece,19,12453,"{'name': 'Europe/Athens', 'offset': 7200, 'offsetHours': '2:00', 'abbr': 'EET', 'abbrName': 'Eastern European Time', 'isDst': False}",86
3871,4293,Sampit Airport,SMQ,WAOS,Sampit,-2.499167,112.974998,Indonesia,50,1944,"{'name': 'Asia/Pontianak', 'offset': 25200, 'offsetHours': '7:00', 'abbr': 'WIB', 'abbrName': 'Western Indonesian Time', 'isDst': False}",103
3872,3379,Samsun Carsamba Airport,SZF,LTFH,Samsun,41.254478,36.567101,Turkey,18,39353,"{'name': 'Europe/Istanbul', 'offset': 10800, 'offsetHours': '3:00', 'abbr': '+03', 'abbrName': None, 'isDst': False}",228
3873,52,San Andres International Airport,ADZ,SKSP,San Andres Island,12.58368,-81.710899,Colombia,19,54757,"{'name': 'America/Bogota', 'offset': -18000, 'offsetHours': '-5:00', 'abbr': '-05', 'abbrName': None, 'isDst': False}",49
3874,3083,San Andros Airport,SAQ,MYAN,San Andros,25.05381,-78.048897,Bahamas,5,9221,"{'name': 'America/Nassau', 'offset': -18000, 'offsetHours': '-5:00', 'abbr': 'EST', 'abbrName': 'Eastern Standard Time', 'isDst': False}",17
3875,3198,San Angelo Regional Airport,SJT,KSJT,San Angelo,31.35775,-100.496002,United States,1919,48590,"{'name': 'America/Chicago', 'offset': -21600, 'offsetHours': '-6:00', 'abbr': 'CST', 'abbrName': 'Central Standard Time', 'isDst': False}",236
3876,3084,San Antonio International Airport,SAT,KSAT,San Antonio,29.533689,-98.469704,United States,809,534805,"{'name': 'America/Chicago', 'offset': -21600, 'offsetHours': '-6:00', 'abbr': 'CST', 'abbrName': 'Central Standard Time', 'isDst': False}",236
3877,4371,San Antonio Lackland Air Force Base,SKF,KSKF,San Antonio,29.372971,-98.570969,United States,671,6945,"{'name': 'America/Chicago', 'offset': -21600, 'offsetHours': '-6:00', 'abbr': 'CST', 'abbrName': 'Central Standard Time', 'isDst': False}",236
3878,7407,San Antonio Stinson Municipal Airport,SSF,KSSF,San Antonio,29.337084,-98.46936,United States,569,27894,"{'name': 'America/Chicago', 'offset': -21600, 'offsetHours': '-6:00', 'abbr': 'CST', 'abbrName': 'Central Standard Time', 'isDst': False}",236
3879,4573,San Bernardino International Airport,SBD,KSBD,San Bernardino,34.095268,-117.235001,United States,1157,74527,"{'name': 'America/Los_Angeles', 'offset': -28800, 'offsetHours': '-8:00', 'abbr': 'PST', 'abbrName': 'Pacific Standard Time', 'isDst': False}",236
3880,4713,San Carlos Airport,SQL,KSQL,San Carlos,37.511944,-122.249443,United States,5,121474,"{'name': 'America/Los_Angeles', 'offset': -28800, 'offsetHours': '-8:00', 'abbr': 'PST', 'abbrName': 'Pacific Standard Time', 'isDst': False}",236
3881,468,San Carlos de Bariloche Airport,BRC,SAZS,San Carlos de Bariloche,-41.1511,-71.157501,Argentina,2776,26031,"{'name': 'America/Argentina/Salta', 'offset': -10800, 'offsetHours': '-3:00', 'abbr': '-03', 'abbrName': None, 'isDst': False}",11
3882,3112,San Cristobal Airport,SCY,SEST,San Cristobal,-0.910278,-89.6175,Ecuador,62,1958,"{'name': 'Pacific/Galapagos', 'offset': -21600, 'offsetHours': '-6:00', 'abbr': '-06', 'abbrName': None, 'isDst': False}",65
3883,4541,San Diego Brown Field Municipal Airport,SDM,KSDM,San Diego,32.572224,-116.980003,United States,526,63956,"{'name': 'America/Los_Angeles', 'offset': -28800, 'offsetHours': '-8:00', 'abbr': 'PST', 'abbrName': 'Pacific Standard Time', 'isDst': False}",236
3884,4452,San Diego Gillespie Field Airport,SEE,KSEE,San Diego,32.826111,-116.972221,United States,387,106111,"{'name': 'America/Los_Angeles', 'offset': -28800, 'offsetHours': '-8:00', 'abbr': 'PST', 'abbrName': 'Pacific Standard Time', 'isDst': False}",236
3885,3080,San Diego International Airport,SAN,KSAN,San Diego,32.733551,-117.189003,United States,16,789134,"{'name': 'America/Los_Angeles', 'offset': -28800, 'offsetHours': '-8:00', 'abbr': 'PST', 'abbrName': 'Pacific Standard Time', 'isDst': False}",236
3886,672,San Diego McClellan Palomar Airport,CLD,KCRQ,San Diego,33.12825,-117.279999,United States,330,226818,"{'name': 'America/Los_Angeles', 'offset': -28800, 'offsetHours': '-8:00', 'abbr': 'PST', 'abbrName': 'Pacific Standard Time', 'isDst': False}",236
3887,4610,San Diego Montgomery Field Airport,MYF,KMYF,San Diego,32.815449,-117.135635,United States,420,204040,"{'name': 'America/Los_Angeles', 'offset': -28800, 'offsetHours': '-8:00', 'abbr': 'PST', 'abbrName': 'Pacific Standard Time', 'isDst': False}",236
3888,8459,San Fernando Airport,QAE,SADF,San Fernando,-34.453449,-58.589581,Argentina,11,125,"{'name': 'America/Argentina/Buenos_Aires', 'offset': -10800, 'offsetHours': '-3:00', 'abbr': '-03', 'abbrName': None, 'isDst': False}",11
