,Name,Code,ICAO
359,Babcock MCS Espana,,INR
360,Babcock MCS France,,PTH
361,Babcock MCS Italia,,ELH
362,Babcock MCS Offshore,,BND
363,Babcock MCS Onshore,,RHD
364,Babcock MCS Portugal,,BBO
365,Babcock Scandinavian AirAmbulance,,DFL
366,Babcock Scandinavian AirAmbulance,,BNO
367,Baden Aircraft Operations,,BAO
368,Badr Airlines,J4,BDR
369,BAe Systems,,BAE
370,BAe Systems Marine,,VSB
371,Bahamasair,UP,BHS
372,Bairline,,BRJ
373,Bakhtar Afghan Airlines,BM,BFO
374,Bamboo Airways,QH,BAV
375,Bangkok Airways,PG,BKP
376,BankAir,,BKA
377,Bar XH Air,,BXH
378,Baron Aviation Services,,BVN
379,Bassaka Air,5B,BSX
380,Batik Air,ID,BTK
381,Batik Air Malaysia,OD,MXD
382,Bearskin Airlines,JV,BLS
383,Bees Airline,7B,UBE
384,Beijing Airlines,,BJN
385,Bel Air Aviation,,BBX
386,Belavia,B2,BRU
387,Bemidji Airlines,CH,BMJ
388,Bering Air,8E,BRG
389,Berjaya Air,J8,BVT
390,Berniq Airways,NB,BNL
391,Berry Aviation,,BYA
392,Bestfly Aruba,,BFY
393,Bestfly Cabo Verde,3B,BCV
394,BH Air,8H,BGH
395,Bhutan Airlines,B3,BTN
396,Bighorn Airways,,BHR
397,Biman Bangladesh Airlines,BG,BBC
398,BinAir,,BID
399,Binter Canarias,NT,IBB
400,Bioflight,,BIO
401,Bismillah Airlines,BH,BML
402,Blue Air,0B,BLA
403,Blue Bird Aviation,,BLB
404,Blue Dart Aviation,BZ,BDA
405,Blue Islands,SI,BCI
406,Blue Square Aviation,,BSG
407,Bluebird Airways,BZ,BBG
408,Bluebird Aviation,,BBZ
409,Bluebird Nordic,BO,BBD
410,Boeing,,BOE
411,Boliviana de Aviacion,OB,BOV
412,Bombardier,,BBA
413,Bonza,,BNZ
414,Bookajet,,BOO
415,Boutique Air,4B,BTQ
416,Boutique Aviation,,BQA
417,BRA,TF,BRX
418,Bravo Airways,,BAY
419,Breeze Airways,MX,MXY
420,Brilliant Jet,,TXJ
421,Bristow Helicopters,,BHL
422,Bristow Nigeria,,BHN
423,Bristow Norway,,NOR
424,Bristow US,,BTZ
425,British Airways,BA,BAW
426,British Airways Shuttle,,SHT
427,British International Helicopters,,BRT
428,Bromma Air Maintenance,,CFL
429,Brussels Airlines,SN,BEL
430,Budapest Aircraft Service,RP,BPS
431,Buddha Air,U4,BHA
432,Budget Lines,BD,BGN
433,Buffalo Airways,,BFL
434,Bul Air,LB,BVL
435,Bulgaria - Government,,BGF
436,Bulgaria Air,FB,LZB
437,Buraq Air,UZ,BRQ
438,Business Aviation Asia,UN,UNA
439,Business Wings,,JMP
440,Buzz,RR,RYS
441,BySky,,BYS
442,C&M Airways,,RWG
443,CAA,BU,REB
444,Cabo Verde Airlines,VR,TCV
445,Caicos Express Airways,9Q,CXE
446,Calafia Airlines,A7,CFV
447,Calm Air,MO,CAV
448,Calstar,,CMD
449,Camair-Co,QC,CRC
450,Cambodia Airways,KR,KME
451,Cambodia Angkor Air,K6,KHV
452,Cambodia Bayon Airlines,BD,BYC
453,Cameroon Airlines,UY,UYC
454,Camex Airlines,Z7,CMS
455,Canada - Department of Transport,,TGO
456,Canadian Airways Congo,,TWC
457,Canadian North,5T,AKT
458,Canarias Airlines,,RSC
459,CanaryFly,PM,CNF
460,Canavia,,CNA
461,Canjet Airlines,C6,CJA
462,Canlink Aviation,,MFC
463,CanWest Air,,CWA
464,Cape Air,9K,KAP
465,Capital Air Ambulance,,EGL
466,Capital Airlines,JD,CBJ
467,Capital City Air Carriers,,CCQ
468,Cardiff Aviation Malta,,SGO
469,Cardig Air,,CAD
470,CareFlight,,CFH
471,Cargo Air,,CGF
472,Cargo Three,C3,CTW
473,Cargojet Airways,W8,CJT
474,CargoLogic Germany,6L,GCL
475,CargoLogicAir,P3,CLU
476,Cargolux,CV,CLX
477,Cargolux Italia,C8,ICV
478,Caribbean Airlines,BW,BWA
479,Carpatair,V3,KRP
480,Carson Air,,CRN
481,Caspian Airlines,RV,CPN
482,Castle Aviation,,CSJ
483,CAT Aviation,,CAZ
484,Cathay Pacific,CX,CPA
485,Catreus,,VCG
486,Cavok Air,,CVK
487,Cayman Airways,KX,CAY
488,Cebgo,DG,SRQ
489,Cebu Pacific,5J,CEB
490,Ceiba Intercontinental,C2,CEL
491,CemAir,5Z,KEM
492,Central Air Southwest,,CTL
493,Central Airlines,I9,HLF
494,Central Mountain Air,9M,GLR
495,Centreline,,CLF
496,Chabahar Airlines,,IRU
497,Chair Airlines,GM,GSW
498,Chalair Aviation,CE,CLG
499,Challenge Air Cargo,X6,CHZ
500,Challenge Airlines,X7,CHG
501,Challenge Airlines IL,5C,ICL
502,Cham Wings Airlines,6Q,SAW
503,Charter Jets,,LTC
504,Chartright Air,,HRT
505,CHC Helicopter,,HMB
506,CHC Helicopters Netherlands,,HNL
507,CHC Helicopters Nigeria,,ATQ
508,CHC Helikopter Service,,HKS
509,CHC International,,GCY
510,Chengdu Airlines,EU,UEA
511,Chervon Corporation,,GLH
512,Chicago Jet Group,,WDY
513,China Airlines,CI,CAL
514,China Cargo Airlines,CK,CKK
515,China Central Longhao Airlines,GI,LHA
516,China Eastern Airlines,MU,CES
517,China Express Airlines,G5,HXA
518,China Postal Airlines,CF,CYZ
519,China Southern Airlines,CZ,CSN
520,China Southern Cargo,,CSG
521,China United Airlines,KN,CUA
522,Chongqing Airlines,OQ,CQN
523,Chrono Aviation,MB,NDL
524,Chrono Jet,MB,MBK
525,Cinnamon Air,C7,CIN
526,CITIC Offshore Helicopter,,CHC
527,Citilink,QG,CTV
528,Citrus,XT,CTU
529,Cityjet,WX,BCY
530,Civil Air Patrol,,CAP
531,Class Aviation,,DUC
532,Clipper Jet,,ORO
533,CM Airlines,CC,OMT
534,CMA CGM AirCargo,2C,CMA
535,Coastal Aviation,CQ,CSV
536,Cobalt Air,CO,FCB
537,Cobham Aviation,NC,JTE
538,Cobham Aviation Services Australia,,NJS
539,Cobham Flight Inspection,,CLB
540,Colorful GuiZhou Airlines,GY,CGZ
541,Comlux Aruba,CS,CXB
542,Comlux Aviation,,CLA
543,Comlux Aviation Malta,,MLM
544,CommutAir,C5,UCA
545,Compagnia Aeronautica Italiana,,CPI
546,Compass Cargo Airlines,HQ,ADZ
547,Conair,,FGD
548,Condor,DE,CFG
549,Congo Airways,8Z,CGA
550,Connect Airlines,MW,WZM
551,Connect Linhas Aereas,6C,CNT
552,Conquest Air,C4,QAI
553,Constanta Airline,,UZA
554,Contour Aviation,LF,VTE
555,Conviasa,V0,VCV
556,Copa Airlines,CM,CMP
557,Copenhagen Airtaxi,,CAT
558,Corendon Airlines,XC,CAI
559,Corendon Airlines Europe,XR,CXI
560,Corendon Dutch Airlines,CD,CND
561,Corporate Air,,CPT
562,Corporate Air,,MLN
563,Corsair,SS,CRL
564,Costa Rica Green Airways,GW,GRA
565,Coulson Aviation,,CUL
566,Cristalux,Z7,AUZ
567,Croatia Airlines,OU,CTN
568,Cronos Airlines,C8,CRA
569,Cronos Airlines Benin,C9,CKL
570,CSA Air,,IRO
571,CSI Aviation,,CSI
572,Cubana,CU,CUB
573,Cygnus Air,,RGN
574,Cyprus Airways,CY,CYP
575,Czech Airlines,OK,CSA
576,Daallo Airlines,D3,DAO
577,Dalian Airlines,,CCD
578,Dan Air,,JOC
579,Dana Air,9J,DAN
580,Dassault Falcon Service,,DSO
581,DAT,DX,DTR
582,DAT LT,R6,DNU
583,DC Aviation,,DCS
584,DEA Aviation,,WKT
585,Deer Jet,,DER
586,Deer Jet Beijing,,BDJ
587,Delta Air Lines,DL,DAL
588,Delta Private Jets,,DPJ
589,Dena Airways,D9,DAI
590,Denim Air,G6,DNM
591,Deraya,,DRY
592,Desert Jet,,DJR
593,Dexter Air Taxi,,DXT
594,DHL,D0,DHK
595,DHL Aero Expreso,D5,DAE
596,DHL Air Austria,Q7,DHA
597,DHL Aviation EEMEA,ES,DHX
598,Diamond Sky,,DMS
599,Divi Divi Air,3R,DVR
600,Dniproavia,,UDN
601,Donghai Airlines,DZ,EPA
